サ,67,67,299,ｻ,サ,s,a,サ,s,a
サ,69,69,2144,ｻﾞ,ザ,z,a,ザ,z,a
サ,70,70,2588,ｻﾞｧ,ザ,z,a,ァ,a,a
サ,92,92,2167,ﾀﾞ,ダ,d,a,ダ,d,a
サー,68,68,588,ｻｯ,サ,s,a,ッ,*,*
ザ,64,64,1819,ｹﾞ,ゲ,g,e,ゲ,g,e
ザ,69,69,2144,ｻﾞ,ザ,z,a,ザ,z,a
シ,7,7,2282,シ,シ,s,i,シ,s,i
シ,71,71,1389,ｼ,シ,s,i,シ,s,i
シ,78,78,2314,ｼﾞ,ジ,z,i,ジ,z,i
シ,79,79,2596,ｼﾞｬ,ジ,z,i,ャ,y,a
シ,96,96,2246,ﾁ,チ,t,i,チ,t,i
シ,140,140,2085,ﾋ,ヒ,h,i,ヒ,h,i
シ,173,173,2778,ﾗﾂﾞ,ラ,r,a,ヅ,d,u
シイ,71,71,1389,ｼ,シ,s,i,シ,s,i
シイ,77,77,1702,ｼｰ,シ,s,i,ー,*,*
シテ,74,74,1838,ｼｮ,シ,s,i,ョ,y,o
シテホ,76,76,1796,ｼｮｰ,シ,s,i,ー,*,*
シャ,72,72,2292,ｼｬ,シ,s,i,ャ,y,a
シャ,77,77,1702,ｼｰ,シ,s,i,ー,*,*
シュ,73,73,1507,ｼｭ,シ,s,i,ュ,y,u
ショ,71,71,1389,ｼ,シ,s,i,シ,s,i
ショ,74,74,1838,ｼｮ,シ,s,i,ョ,y,o
ショ,75,75,1283,ｼｮｯ,シ,s,i,ッ,*,*
ショ,81,81,2121,ｼﾞｮ,ジ,z,i,ョ,y,o
ショ,101,101,2768,ﾁｮ,チ,t,i,ョ,y,o
ジ,8,8,2406,ジ,ジ,z,i,ジ,z,i
ジ,71,71,1389,ｼ,シ,s,i,シ,s,i
ジ,78,78,2314,ｼﾞ,ジ,z,i,ジ,z,i
ジ,96,96,2246,ﾁ,チ,t,i,チ,t,i
ジ,103,103,3572,ﾁﾞ,ヂ,d,i,ヂ,d,i
ジャ,79,79,2596,ｼﾞｬ,ジ,z,i,ャ,y,a
ジャ,101,101,2768,ﾁｮ,チ,t,i,ョ,y,o
ジャ,168,168,2335,ﾔ,ヤ,y,a,ヤ,y,a
ジュ,117,117,2577,ﾃﾞｭ,デ,d,e,ュ,y,u
ジョ,81,81,2121,ｼﾞｮ,ジ,z,i,ョ,y,o
ジョ,118,118,1258,ﾄ,ト,t,o,ト,t,o
ス,38,38,2626,ｳ,ウ,a,u,ウ,a,u
ス,71,71,1389,ｼ,シ,s,i,シ,s,i
ス,82,82,676,ｽ,ス,s,u,ス,s,u
ス,89,89,1476,ﾀ,タ,t,a,タ,t,a
ズ,83,83,2416,ｽﾞ,ズ,z,u,ズ,z,u
ズ,109,109,4218,ﾂﾞ,ヅ,d,u,ヅ,d,u
セ,19,19,2559,ｨ,ィ,a,i,ィ,a,i
セ,71,71,1389,ｼ,シ,s,i,シ,s,i
セ,78,78,2314,ｼﾞ,ジ,z,i,ジ,z,i
セ,86,86,3221,ｾﾞ,ゼ,z,e,ゼ,z,e
セ,97,97,2629,ﾁｪ,チ,t,i,ェ,a,e
ゼ,84,84,2685,ｽﾞｨ,ズ,z,u,ィ,a,i
ゼ,85,85,2665,ｽﾞｪ,ズ,z,u,ェ,a,e
ゼ,114,114,2399,ﾃﾞ,デ,d,e,デ,d,e
ゼ,116,116,3099,ﾃﾞｬ,デ,d,e,ャ,y,a
ソ,47,47,2072,ｵﾓ,オ,a,o,モ,m,o
ソ,83,83,2416,ｽﾞ,ズ,z,u,ズ,z,u
ソ,87,87,1662,ｿ,ソ,s,o,ソ,s,o
ソ,88,88,1905,ｿﾞ,ゾ,z,o,ゾ,z,o
ソ,120,120,2624,ﾄﾞ,ド,d,o,ド,d,o
ソ,139,139,2730,ﾊﾟ,パ,p,a,パ,p,a
